ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
1062,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,18-29,Male,Hispanic,Non White No College,No College,West,86440,28
633,Already Voted,Very,Recently registered to vote,"Donald Trump, the Republican",Republican,,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,West,92583,27
1063,Already Voted,Very,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,,I did not vote,The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,18-29,Female,Hispanic,Non White No College,No College,West,85932,27
1064,Already Voted,Very,Recently registered to vote,"Donald Trump, the Republican",Republican,,I did not vote,Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,18-29,Female,Hispanic,Non White College,College,West,85629,27
7,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White College,College,South,34205,26
71,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Unsure,Yes,65+,Female,White,White College,College,Midwest,49343,26
107,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Male,White,White College,College,West,80923,26
144,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Unsure,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,West,98122,26
155,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Female,White,White College,College,South,33433,26
203,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Female,Black or African American,Non White No College,No College,West,89011,26
252,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Northeast,06716,26
274,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,No,30-44,Male,White,White College,College,South,27258,26
296,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,65+,Female,White,White College,College,Midwest,48433,26
304,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,Hispanic,Non White No College,No College,South,27849,26
312,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Unsure,Unsure,30-44,Female,White,White College,College,Midwest,49548,26
335,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Male,Other,Non White College,College,West,96817,26
356,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Female,White,White College,College,South,28056,26
372,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,46001,26
380,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Unsure,Yes,65+,Male,White,White College,College,Northeast,19406,26
391,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Other,Non White College,College,South,21144,26
393,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,Black or African American,Non White No College,No College,West,94509,26
394,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Other,Non White College,College,South,33019,26
413,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Male,Black or African American,Non White College,College,South,26505,26
459,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White No College,No College,Midwest,49525,26
486,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White College,College,West,96744,26
549,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,West,98026,26
563,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Donald Trump,Kamala Harris,No,No,30-44,Female,Hispanic,Non White No College,No College,West,91901,26
575,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Female,White,White College,College,South,32159,26
580,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,Midwest,60195,26
596,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,West,97305,26
648,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,South,27707,26
657,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Unsure,Kamala Harris,Unsure,No,65+,Female,Black or African American,Non White College,College,South,29730,26
701,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,Other,Non White College,College,South,37934,26
744,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,,Kamala Harris,Kamala Harris,Yes,No,18-29,Male,Black or African American,Non White College,College,Northeast,07071,26
809,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,White,White No College,No College,Northeast,08094,26
821,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,No,No,30-44,Female,White,White College,College,Midwest,53532,26
857,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,30028,26
901,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,I did not vote,The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White College,College,West,95820,26
941,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,89131,26
967,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,76028,26
980,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White College,College,South,24015,26
996,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,46052,26
997,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Jo Jorgensen, the Libertarian",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White No College,No College,West,89110,26
1010,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,White,White No College,No College,South,32566,26
1065,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Male,Hispanic,Non White No College,No College,West,86440,26
1066,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Gun rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,Hispanic,Non White No College,No College,West,85635,26
1067,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Kamala Harris,Kamala Harris,No,Unsure,30-44,Male,Hispanic,Non White No College,No College,West,85713,26
1068,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,Hispanic,Non White No College,No College,,85653,26
1069,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,18-29,Male,Hispanic,Non White No College,No College,West,85706,26
1070,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,Hispanic,Non White No College,No College,West,85746,26
1071,Already Voted,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,Hispanic,Non White No College,No College,West,85143,26
1072,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,18-29,Female,Hispanic,Non White No College,No College,West,85248,26
1073,Already Voted,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Donald Trump,Kamala Harris,No,Yes,65+,Female,Hispanic,Non White No College,No College,West,85123,26
1074,Already Voted,Somewhat,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Male,Hispanic,Non White College,College,West,85085,26
1075,Already Voted,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,30-44,Female,Hispanic,Non White No College,No College,West,85326,26
3,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,45-64,Male,White,White No College,No College,Northeast,04330,25
11,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Independent,Neither,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White College,College,Northeast,10462,25
24,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,Other,Non White College,College,West,94030,25
44,Already Voted,Not very,Always,"Donald Trump, the Republican",Republican,Republican,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White College,College,West,80503,25
74,Already Voted,Not very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Jorgensen, the Libertarian",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,Northeast,12065,25
77,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Donald Trump,Kamala Harris,Yes,Unsure,65+,Female,Black or African American,Non White No College,No College,South,38652,25
90,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,Other,Non White No College,No College,South,33625,25
115,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Northeast,06111,25
117,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,Midwest,49876,25
126,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Unsure,45-64,Female,White,White College,College,Midwest,47546,25
182,Already Voted,Not very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,20657,25
297,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,South,32927,25
345,Already Voted,Not very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Other,Non White No College,No College,Midwest,68144,25
425,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,40509,25
429,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,No,65+,Female,White,White No College,No College,South,77064,25
431,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,Hispanic,Non White No College,No College,West,93312,25
446,Already Voted,Not very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,97209,25
485,Already Voted,Somewhat,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,,I did not vote,Healthcare,Kamala Harris,Donald Trump,Kamala Harris,Yes,No,65+,Male,White,White No College,No College,Northeast,11731,25
550,Already Voted,Not very,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",Immigration and border security,Unsure,Unsure,Donald Trump,Yes,Yes,65+,Female,White,White College,College,Northeast,11357,25
567,Already Voted,Not very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Unsure,Unsure,Unsure,Unsure,Unsure,65+,Female,White,White No College,No College,Midwest,45013,25
597,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,65240,25
778,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,89406,25
851,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,South,71360,25
852,Already Voted,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Northeast,17815,25
948,Already Voted,Not very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Female,White,White College,College,West,90712,25
1076,Already Voted,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Unsure,Kamala Harris,No,Unsure,45-64,Female,Hispanic,Non White No College,No College,West,85201,25
1077,Already Voted,Not very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,Hispanic,Non White No College,No College,West,85131,25
1078,Already Voted,Not very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,Hispanic,Non White No College,No College,West,86426,25
2,Already Voted,Not at all,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Donald Trump,Kamala Harris,No,Yes,65+,Male,Black or African American,Non White College,College,South,21078,24
8,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Donald Trump,Kamala Harris,Yes,No,30-44,Female,White,White No College,No College,South,76137,24
258,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,West,89406,24
343,Already Voted,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White College,College,South,38654,24
399,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Unsure,Donald Trump,Kamala Harris,Yes,No,45-64,Female,Other,Non White College,College,Midwest,60076,24
559,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,Other,Non White No College,No College,South,36867,24
751,Already Voted,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,30-44,Female,White,White College,College,West,96818,24
788,Already Voted,Not at all,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,97478,24
795,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White No College,No College,South,72143,24
800,Already Voted,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,43725,24
801,Already Voted,Not at all,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Unsure,Unsure,Unsure,Unsure,Unsure,18-29,Female,White,White No College,No College,South,30528,24
861,Already Voted,Not at all,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Unsure,Donald Trump,Kamala Harris,No,Yes,65+,Female,White,White No College,No College,West,98065,24
867,Already Voted,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,South,32119,24
903,Already Voted,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White No College,No College,Midwest,56081,24
922,Already Voted,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Donald Trump,Kamala Harris,Unsure,Yes,65+,Female,White,White No College,No College,Midwest,55116,24
1079,Already Voted,Not at all,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Male,Hispanic,Non White No College,No College,West,85706,24
1,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,76085,23
30,Already Voted,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,I did not vote,Abortion rights and restrictions,Unsure,Donald Trump,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,South,34234,23
192,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White College,College,Midwest,81201,23
209,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Other,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,45-64,Female,White,White College,College,Midwest,48362,23
267,Already Voted,Very,Rarely,"Donald Trump, the Republican",Republican,Republican,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,65+,Female,Hispanic,Non White No College,No College,West,92869,23
329,Already Voted,Very,Rarely,"Kamala Harris, the Democrat",Democrat,Democrat,I did not vote,Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,45-64,Male,White,White No College,No College,South,30680,23
402,Already Voted,Very,Rarely,"Kamala Harris, the Democrat",Democrat,,I did not vote,Other,Unsure,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,Other,Non White College,College,West,59801,23
416,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,West,98244,23
433,Already Voted,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Donald Trump, the Republican",Threats to democracy and corruption,Kamala Harris,Donald Trump,Unsure,Yes,Yes,45-64,Female,Black or African American,Non White No College,No College,South,33197,23
436,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,West,97383,23
475,Already Voted,Not very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",The economy and jobs,Donald Trump,Unsure,Donald Trump,Unsure,Yes,30-44,Male,Other,Non White College,College,West,99163,23
493,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,I did not vote,Abortion rights and restrictions,Unsure,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White No College,No College,Midwest,61201,23
629,Already Voted,Not at all,Recently registered to vote,"Kamala Harris, the Democrat",Independent,Neither,"Jo Jorgensen, the Libertarian",The economy and jobs,,,,Unsure,No,30-44,Female,White,White No College,No College,Midwest,47201,23
681,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,45-64,Female,Other,Non White No College,No College,South,77042,23
758,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,30-44,Female,White,White No College,No College,Midwest,48047,23
802,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Female,White,White College,College,South,34731,23
825,Already Voted,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Abortion rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,17701,23
915,Already Voted,Very,Rarely,"Donald Trump, the Republican",Republican,,I did not vote,Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,Midwest,43119,23
938,Already Voted,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White College,College,Midwest,47112,23
946,Already Voted,Very,Rarely,"Kamala Harris, the Democrat",Democrat,,I did not vote,Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,18-29,Male,Black or African American,Non White No College,No College,South,27610,23
